Title,Description,Document Number,Domains,Types,Version,Date,Status
"Sales Management API","<p><span style=""color: rgb(51,51,51);"">The Sales Management API provides interfaces for Sales Lead, Sales Opportunity, Sales Quote and the other management capabilities to support the sales activities to build relationship with the prospect customer who could be a person or organization that has an interest in the goods and/or services and possibly become the actual customers with one or more subscriptions.</span></p>","TMF699","Marketing Sales","RESTful","v4.0","2021-07-01","Production"
"Service Catalog Management API","<p>The Service Catalog Management API allows the management of the entire lifecycle of the service catalog elements.</p>
<br><b>Version history</b>
<br> v4.0.0 
<p>07-Nov-2024 TMF633 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF633","Service","RESTful","v4.0","2021-07-07","Production"
"Geographic Location Management API","<p>Provides the information of a geographic region of the entity (customer, equipment, address).</p>","TMF675","Common","RESTful","v1.0.0","2017-08-01","Archived"
"Cost Management API","<p>The Cost Management API provides a standardized mechanism to manage projected and actual costs across telecom services and resources. It enables creating, updating, deleting, and retrieving cost instances, each containing one or more cost items. The API supports three cost cycles: one-time costs, recurring fixed costs, and consumption-based costs. It is designed to interact seamlessly with various ODA function blocks for effective cost tracking and optimization. </p>
<br><b>Version history</b>
<p>v5.0.0
<p> 18 July 2025 TMF764 preview release v5.0.0: Open API Specification (OAS), User Guide, Conformance Profile
</p>","TMF764","Common","RESTful","v5.0","","Pre-production"
"Service Usage Management API","<p>The Service Usage Management API provides a standardized mechanism for service usage management such as the creation, update, retrieval, import and export of a collection of service usages.</p>
<p> 14-Oct-2024 TMF727 v5.0.0 preview release: Open API Specification, User Guide and Conformance profile updates for consistency between Usage APIs: Product Usage, Service Usage and Resource Usage. ","TMF727","Service","RESTful","v4.0","2022-09-06","Pre-production"
"DCS 5GSlice Service Activation API","<p title="""">Domain Context Specialization of TMF640 for 5G Service Slice, Swagger of Contract is strongly bound to the GSMA Service Definition</p>","TMF924","Service","RESTful","v4.0","2022-09-16","Pre-production"
"Service Quality Management Management API","<p>Through this API, any Enterprise is able to access a Service Quality Management application and extract Service Level Specifications and associated Service Level Objectives (SLO) and their thresholds.</p>
<br><b>Version history</b></br>
<br>v4.0.0 </br>
<p>23 Jan 2025 TMF657 v4.0.0 CTK update .json and .html are now available when you run CTK 
../htmlResults.html  
../jsonResults.json </p>
<p>07 No  2024 TMF657 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.</p>
<p>22 Sep 2021</p> Stable release: OAS, User Guide, Conformance profile, CTK, RI and postman released.","TMF657","Service","RESTful","v4.0","2021-09-22","Production"
"Geographic Address Management API","<p>Provides a standardized client interface to an Address management system. It allows looking for worldwide addresses. It can also be used to validate geographic address data, to be sure that it corresponds to a real geographic address. Finally, it can be used to look for a geographic address by: searching an area as a start (city, town ...), then zooming on the streets of this area, and finally listing all the street segments (numbers) in a street.</p>
<p>Version history</p>

<p>12 Mar 2026 TMF673 v4.0.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation.
The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks.
The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>
","TMF673","Common","RESTful","v4.0","2026-03-12","Production"
"Federated ID Management API","<p>The management of principals of any kind (persons, objects, …) and their access to resources in an open environment which can span across different enterprise boundaries. It relies on authentication, authorization and consent mechanisms to protect privacy with a simple and easy user experience. Different parties can provide identity services (operators, social networks, GSMA, …).</p>","TMF691","Common","RESTful","v4.0","2021-11-22","Pre-production"
"Work Qualification Management","No description available yet","TMF714","Common","RESTful","v4.0","2021-08-13","Pre-production"
"Resource Activation Management API","The Resource Activation and Configuration API can be used to query resource instances to acquire the resource activation states and attributes, and it can be used to create/update, configure and activate the resource instances.","TMF702","Resource","RESTful","v4.0","2020-07-13","Production"
"Incident Management API","The Incident Management API provides a standardized mechanism to report, diagnose and resolve incidents and manages the entire lifecycle of incidents as defined by ITIL. The primary objective of incident management is to restore normal service operation as quickly as possible and minimize the adverse impact on business operations, ensuring that agreed levels of service quality are maintained.","TMF724","Common","RESTful","v4.0","2023-09-03","Production"
